against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,classfication,experience_growth,height_m,percentage_male,pokedex_number,weight_kg
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,Turtle Pokémon,1059860,1.0,88.1,8,22.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,Turtle Pokémon,1059860,1.0,88.1,8,22.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,630,45,Shellfish Pokémon,1059860,1.6,88.1,9,85.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,630,45,Shellfish Pokémon,1059860,1.6,88.1,9,85.5
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,195,255,Worm Pokémon,1000000,0.3,50,10,2.9
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,195,255,Worm Pokémon,1000000,0.3,50,10,2.9
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,205,120,Cocoon Pokémon,1000000,0.7,50,11,9.9
0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,395,45,Butterfly Pokémon,1000000,1.1,50,12,32.0
0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,395,45,Butterfly Pokémon,1000000,1.1,50,12,32.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,195,255,Hairy Pokémon,1000000,0.3,50,13,3.2
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,195,255,Hairy Pokémon,1000000,0.3,50,13,3.2
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,205,120,Cocoon Pokémon,1000000,0.6,50,14,10.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,495,45,Poison Bee Pokémon,1000000,1.0,50,15,29.5
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,495,45,Poison Bee Pokémon,1000000,1.0,50,15,29.5
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,251,255,Tiny Bird Pokémon,1059860,0.3,50,16,1.8
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,251,255,Tiny Bird Pokémon,1059860,0.3,50,16,1.8
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,251,255,Tiny Bird Pokémon,1059860,0.3,50,16,1.8
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,349,120,Bird Pokémon,1059860,1.1,50,17,30.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,349,120,Bird Pokémon,1059860,1.1,50,17,30.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,349,120,Bird Pokémon,1059860,1.1,50,17,30.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,579,45,Bird Pokémon,1059860,1.5,50,18,39.5
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,579,45,Bird Pokémon,1059860,1.5,50,18,39.5
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,579,45,Bird Pokémon,1059860,1.5,50,18,39.5
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,1000000,,50,19,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,1000000,,50,19,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,1000000,,50,19,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,1000000,,50,19,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,1000000,,50,19,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,1000000,,50,19,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,1000000,,50,20,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,1000000,,50,20,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,1000000,,50,20,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,1000000,,50,20,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,1000000,,50,20,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,1000000,,50,20,
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,Tiny Bird Pokémon,1000000,0.3,50,21,2.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,Tiny Bird Pokémon,1000000,0.3,50,21,2.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,442,90,Beak Pokémon,1000000,1.2,50,22,38.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,442,90,Beak Pokémon,1000000,1.2,50,22,38.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,288,255,Snake Pokémon,1000000,2.0,50,23,6.9
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,288,255,Snake Pokémon,1000000,2.0,50,23,6.9
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,288,255,Snake Pokémon,1000000,2.0,50,23,6.9
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,448,90,Cobra Pokémon,1000000,3.5,50,24,65.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,448,90,Cobra Pokémon,1000000,3.5,50,24,65.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,448,90,Cobra Pokémon,1000000,3.5,50,24,65.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,320,190,Mouse Pokémon,1000000,0.4,50,25,6.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,320,190,Mouse Pokémon,1000000,0.4,50,25,6.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,485,75,Mouse Pokémon,1000000,,50,26,
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,485,75,Mouse Pokémon,1000000,,50,26,
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,485,75,Mouse Pokémon,1000000,,50,26,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,Mouse Pokémon,1000000,,50,27,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,Mouse Pokémon,1000000,,50,27,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,Mouse Pokémon,1000000,,50,27,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,Mouse Pokémon,1000000,,50,27,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,Mouse Pokémon,1000000,,50,28,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,Mouse Pokémon,1000000,,50,28,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,Mouse Pokémon,1000000,,50,28,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,Mouse Pokémon,1000000,,50,28,
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,275,235,Poison Pin Pokémon,1059860,0.4,0,29,7.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,275,235,Poison Pin Pokémon,1059860,0.4,0,29,7.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,275,235,Poison Pin Pokémon,1059860,0.4,0,29,7.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,1059860,0.8,0,30,20.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,1059860,0.8,0,30,20.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,1059860,0.8,0,30,20.0
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,1059860,1.3,0,31,60.0
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,1059860,1.3,0,31,60.0
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,1059860,1.3,0,31,60.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,273,235,Poison Pin Pokémon,1059860,0.5,100,32,9.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,273,235,Poison Pin Pokémon,1059860,0.5,100,32,9.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,273,235,Poison Pin Pokémon,1059860,0.5,100,32,9.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,1059860,0.9,100,33,19.5
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,1059860,0.9,100,33,19.5
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,1059860,0.9,100,33,19.5
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,1059860,1.4,100,34,62.0
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,1059860,1.4,100,34,62.0
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,1059860,1.4,100,34,62.0
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,323,150,Fairy Pokémon,800000,0.6,24.6,35,7.5
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,323,150,Fairy Pokémon,800000,0.6,24.6,35,7.5
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,323,150,Fairy Pokémon,800000,0.6,24.6,35,7.5
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,483,25,Fairy Pokémon,800000,1.3,24.6,36,40.0
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,483,25,Fairy Pokémon,800000,1.3,24.6,36,40.0
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,483,25,Fairy Pokémon,800000,1.3,24.6,36,40.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,Fox Pokémon,1000000,,24.6,37,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,Fox Pokémon,1000000,,24.6,37,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,Fox Pokémon,1000000,,24.6,37,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,Fox Pokémon,1000000,,24.6,37,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,Fox Pokémon,1000000,,24.6,38,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,Fox Pokémon,1000000,,24.6,38,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,Fox Pokémon,1000000,,24.6,38,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,Fox Pokémon,1000000,,24.6,38,
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,270,170,Balloon Pokémon,800000,0.5,24.6,39,5.5
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,270,170,Balloon Pokémon,800000,0.5,24.6,39,5.5
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,270,170,Balloon Pokémon,800000,0.5,24.6,39,5.5
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,435,50,Balloon Pokémon,800000,1.0,24.6,40,12.0
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,435,50,Balloon Pokémon,800000,1.0,24.6,40,12.0
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,435,50,Balloon Pokémon,800000,1.0,24.6,40,12.0
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,245,255,Bat Pokémon,1000000,0.8,50,41,7.5
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,245,255,Bat Pokémon,1000000,0.8,50,41,7.5
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,455,90,Bat Pokémon,1000000,1.6,50,42,55.0
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,455,90,Bat Pokémon,1000000,1.6,50,42,55.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,320,255,Weed Pokémon,1059860,0.5,50,43,5.4
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,320,255,Weed Pokémon,1059860,0.5,50,43,5.4
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,395,120,Weed Pokémon,1059860,0.8,50,44,8.6
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,395,120,Weed Pokémon,1059860,0.8,50,44,8.6
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,Flower Pokémon,1059860,1.2,50,45,18.6
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,Flower Pokémon,1059860,1.2,50,45,18.6
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,285,190,Mushroom Pokémon,1000000,0.3,50,46,5.4
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,285,190,Mushroom Pokémon,1000000,0.3,50,46,5.4
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,285,190,Mushroom Pokémon,1000000,0.3,50,46,5.4
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,405,75,Mushroom Pokémon,1000000,1.0,50,47,29.5
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,405,75,Mushroom Pokémon,1000000,1.0,50,47,29.5
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,405,75,Mushroom Pokémon,1000000,1.0,50,47,29.5
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,305,190,Insect Pokémon,1000000,1.0,50,48,30.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,305,190,Insect Pokémon,1000000,1.0,50,48,30.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,305,190,Insect Pokémon,1000000,1.0,50,48,30.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,450,75,Poison Moth Pokémon,1000000,1.5,50,49,12.5
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,450,75,Poison Moth Pokémon,1000000,1.5,50,49,12.5
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,450,75,Poison Moth Pokémon,1000000,1.5,50,49,12.5
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,1000000,,50,50,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,1000000,,50,50,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,1000000,,50,50,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,1000000,,50,50,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,1000000,,50,50,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,1000000,,50,50,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,1000000,,50,51,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,1000000,,50,51,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,1000000,,50,51,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,1000000,,50,51,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,1000000,,50,51,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,1000000,,50,51,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,1000000,,50,52,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,1000000,,50,52,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,1000000,,50,52,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,1000000,,50,52,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,1000000,,50,52,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,1000000,,50,52,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,1000000,,50,53,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,1000000,,50,53,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,1000000,,50,53,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,1000000,,50,53,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,1000000,,50,53,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,1000000,,50,53,
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,190,Duck Pokémon,1000000,0.8,50,54,19.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,190,Duck Pokémon,1000000,0.8,50,54,19.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,190,Duck Pokémon,1000000,0.8,50,54,19.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,75,Duck Pokémon,1000000,1.7,50,55,76.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,75,Duck Pokémon,1000000,1.7,50,55,76.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,75,Duck Pokémon,1000000,1.7,50,55,76.6
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,190,Pig Monkey Pokémon,1000000,0.5,50,56,28.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,190,Pig Monkey Pokémon,1000000,0.5,50,56,28.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,190,Pig Monkey Pokémon,1000000,0.5,50,56,28.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,455,75,Pig Monkey Pokémon,1000000,1.0,50,57,32.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,455,75,Pig Monkey Pokémon,1000000,1.0,50,57,32.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,455,75,Pig Monkey Pokémon,1000000,1.0,50,57,32.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,350,190,Puppy Pokémon,1250000,0.7,75.4,58,19.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,350,190,Puppy Pokémon,1250000,0.7,75.4,58,19.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,350,190,Puppy Pokémon,1250000,0.7,75.4,58,19.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,555,75,Legendary Pokémon,1250000,1.9,75.4,59,155.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,555,75,Legendary Pokémon,1250000,1.9,75.4,59,155.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,555,75,Legendary Pokémon,1250000,1.9,75.4,59,155.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,255,Tadpole Pokémon,1059860,0.6,50,60,12.4
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,255,Tadpole Pokémon,1059860,0.6,50,60,12.4
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,255,Tadpole Pokémon,1059860,0.6,50,60,12.4
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,385,120,Tadpole Pokémon,1059860,1.0,50,61,20.0
